GC name:G1 Young Generation
GC name:G1 Old Generation
new size:2000000
start:3280 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:32374 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:32754 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:33099 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:33408 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:33723 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:34022 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:34314 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:34596 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:34931 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(23 ms)
start:34966 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:35360 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(10 ms)
start:35773 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:36170 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:36573 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:36975 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:37377 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:37762 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(30 ms)
start:38175 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:38586 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:38990 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:39390 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(41 ms)
start:39845 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:40252 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:40666 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:41076 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:41480 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:41898 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:42304 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:42727 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:43136 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:43572 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:44032 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:44067 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(40 ms)
start:44509 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:44916 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:45318 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:45782 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:46173 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:46561 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:46591 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(20 ms)
start:47010 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:47433 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:47848 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:48241 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:48648 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:49049 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:49448 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:49858 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:50262 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:50672 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:51076 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:51504 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:51911 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:52324 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:52740 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:53201 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:53469 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(30 ms)
start:53876 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:53910 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:54320 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:54724 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:55121 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:55542 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:55943 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:56345 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:56759 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:57164 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:57585 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:57994 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:58398 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:58801 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:59205 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:59674 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:60119 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:60521 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:60967 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:61298 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:61686 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:61719 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:62134 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:62538 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:62949 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:63346 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:63790 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:64196 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:64605 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:65009 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:65411 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:65825 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:66233 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:66649 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:67049 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:67462 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:67874 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:68277 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:68739 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:69092 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(30 ms)
start:69513 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:69548 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:70008 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:70423 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(20 ms)
start:70834 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:71227 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:71643 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:72046 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:72451 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:72925 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:73483 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:73900 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:74315 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:74721 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:75129 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:75548 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:75957 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:76383 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:76846 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:77195 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:77612 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(14 ms)
start:77650 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(15 ms)
start:78086 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:78511 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(21 ms)
start:78929 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:79347 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:79763 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(38 ms)
start:80179 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:80594 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:81002 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:81407 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:81814 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:82217 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:82644 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:83050 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:83464 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:83886 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:84291 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:84750 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:85082 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:85479 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:85519 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(16 ms)
start:85935 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:86335 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:86743 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:87137 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:87579 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:87974 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:88374 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:88784 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:89185 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:89606 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:90011 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:90412 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:90827 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:91229 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:91649 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:92055 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:92505 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(35 ms)
start:92839 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:93235 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:93644 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:94042 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:94436 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:94847 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:95243 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:95657 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:96056 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:96460 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:96889 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:97308 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:97734 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:98140 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:98546 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:98990 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:99026 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(39 ms)
start:99473 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:99884 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:100303 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:100702 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(31 ms)
start:101103 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:101517 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:101934 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:102341 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:102755 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:103166 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:103575 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:103978 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:104376 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:104782 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:105186 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:105610 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:106024 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(35 ms)
start:106431 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:106894 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(37 ms)
start:106936 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(51 ms)
start:107429 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(14 ms)
start:107843 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:108247 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:108626 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(31 ms)
start:109044 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:109455 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:109862 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:110256 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:110664 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:111063 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:111483 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:111902 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:112306 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:112711 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:113120 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:113539 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:113962 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:114369 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:114809 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
